platform,date,engagement_score_sum,engagement_score_mean,engagement_score_count,likes_sum,comments_sum,shares_sum,engagement_ma
instagram,2025-07-29,7285,1040.71,7,6133,616,536,7580.0
instagram,2025-07-30,2562,854.0,3,1962,349,251,6850.571428571428
instagram,2025-07-31,14724,1338.55,11,12407,1599,718,7848.428571428572
instagram,2025-08-01,12800,1422.22,9,10575,1817,408,8363.285714285714
instagram,2025-08-02,5174,1293.5,4,4185,573,416,7676.571428571428
instagram,2025-08-03,9865,986.5,10,7963,1106,796,8457.42857142857
instagram,2025-08-04,5887,981.17,6,4736,643,508,8328.142857142857
instagram,2025-08-05,9133,1522.17,6,7804,929,400,8592.142857142857
instagram,2025-08-06,11759,1175.9,10,9171,1832,756,9906.0
instagram,2025-08-07,11435,1270.56,9,9523,1254,658,9436.142857142857
instagram,2025-08-08,4530,906.0,5,2875,1243,412,8254.714285714286
instagram,2025-08-09,14263,1426.3,10,11796,1563,904,9553.142857142857
instagram,2025-08-10,9039,1004.33,9,6883,1670,486,9435.142857142857
instagram,2025-08-11,10502,1312.75,8,8754,1286,462,10094.42857142857
instagram,2025-08-12,17149,1224.93,14,14219,1773,1157,11239.57142857143
instagram,2025-08-13,9762,1394.57,7,7894,1177,691,10954.285714285714
instagram,2025-08-14,10458,1045.8,10,9026,825,607,10814.714285714286
instagram,2025-08-15,9814,1402.0,7,8192,1174,448,11569.57142857143
instagram,2025-08-16,10544,1171.56,9,8347,1571,626,11038.285714285714
instagram,2025-08-17,9116,1302.29,7,7334,1192,590,11049.285714285714
instagram,2025-08-18,11504,1045.82,11,8847,1797,860,11192.42857142857
instagram,2025-08-19,9586,1065.11,9,7563,1343,680,10112.0
instagram,2025-08-20,11204,1400.5,8,9441,1207,556,10318.0
instagram,2025-08-21,2021,673.67,3,1506,291,224,9112.714285714286
twitter,2025-07-22,2060,294.29,7,1066,269,725,2060.0
twitter,2025-07-23,3190,455.71,7,1925,308,957,2625.0
twitter,2025-07-24,2191,365.17,6,1257,322,612,2480.3333333333335
twitter,2025-07-25,2916,416.57,7,1767,399,750,2589.25
twitter,2025-07-26,1589,317.8,5,854,242,493,2389.2
twitter,2025-07-27,3311,331.1,10,1914,556,841,2542.8333333333335
twitter,2025-07-28,4035,448.33,9,2709,309,1017,2756.0
twitter,2025-07-29,4092,454.67,9,2678,530,884,3046.285714285714
twitter,2025-07-30,1292,323.0,4,988,122,182,2775.1428571428573
twitter,2025-07-31,3782,420.22,9,2329,567,886,3002.4285714285716
twitter,2025-08-01,1939,387.8,5,1146,304,489,2862.8571428571427
twitter,2025-08-02,3939,393.9,10,2289,578,1072,3198.5714285714284
twitter,2025-08-03,2293,382.17,6,1604,131,558,3053.1428571428573
twitter,2025-08-04,2067,295.29,7,1073,440,554,2772.0
twitter,2025-08-05,2790,398.57,7,1573,405,812,2586.0
twitter,2025-08-06,3214,401.75,8,1762,443,1009,2860.5714285714284
twitter,2025-08-07,4676,389.67,12,3107,659,910,2988.285714285714
twitter,2025-08-08,3207,400.88,8,2237,348,622,3169.4285714285716
twitter,2025-08-09,1329,265.8,5,710,227,392,2796.5714285714284
twitter,2025-08-10,2282,456.4,5,1442,222,618,2795.0
twitter,2025-08-11,3889,432.11,9,2597,496,796,3055.285714285714
twitter,2025-08-12,5093,363.79,14,2809,708,1576,3384.285714285714
twitter,2025-08-13,1833,366.6,5,1333,154,346,3187.0
twitter,2025-08-14,4017,334.75,12,2237,684,1096,3092.8571428571427
twitter,2025-08-15,3112,444.57,7,1975,296,841,3079.285714285714
twitter,2025-08-16,3658,406.44,9,2289,503,866,3412.0
twitter,2025-08-17,2657,379.57,7,1577,409,671,3465.5714285714284
twitter,2025-08-18,2947,421.0,7,1978,353,616,3331.0
twitter,2025-08-19,4607,418.82,11,3132,410,1065,3261.5714285714284
twitter,2025-08-20,998,332.67,3,611,136,251,3142.285714285714
twitter,2025-08-21,3779,419.89,9,2640,448,691,3108.285714285714
youtube,2025-07-21,2461,2461.0,1,2406,4,51,2461.0
youtube,2025-07-22,30764,2366.46,13,27900,2392,472,16612.5
youtube,2025-07-23,38962,3246.83,12,35355,3026,581,24062.333333333332
youtube,2025-07-24,24551,3068.88,8,22130,2037,384,24184.5
youtube,2025-07-25,7348,2449.33,3,6697,526,125,20817.2
youtube,2025-07-26,34191,3108.27,11,30480,3299,412,23046.166666666668
youtube,2025-07-27,34462,3132.91,11,30658,3291,513,24677.0
youtube,2025-07-28,26666,2962.89,9,24190,1970,506,28134.85714285714
youtube,2025-07-29,26165,2616.5,10,22956,2605,604,27477.85714285714
youtube,2025-07-30,16358,2336.86,7,14552,1579,227,24248.714285714286
youtube,2025-07-31,17819,2545.57,7,15778,1718,323,23287.0
youtube,2025-08-01,13695,2739.0,5,12567,1064,64,24193.714285714286
youtube,2025-08-02,12847,2569.4,5,10974,1583,290,21144.571428571428
youtube,2025-08-03,28864,3207.11,9,25920,2448,496,20344.85714285714
youtube,2025-08-04,21205,2650.62,8,18812,2011,382,19564.714285714286
youtube,2025-08-05,18121,3020.17,6,16076,1790,255,18415.571428571428
youtube,2025-08-06,13588,2264.67,6,11988,1295,305,18019.85714285714
youtube,2025-08-07,26318,3289.75,8,24505,1515,298,19234.0
youtube,2025-08-08,15286,2183.71,7,13618,1280,388,19461.285714285714
youtube,2025-08-09,23650,2365.0,10,19261,3876,513,21004.571428571428
youtube,2025-08-10,19446,2430.75,8,17241,1732,473,19659.14285714286
youtube,2025-08-11,11886,1698.0,7,9607,1974,305,18327.85714285714
youtube,2025-08-12,22567,3223.86,7,21044,1319,204,18963.0
youtube,2025-08-13,16757,2094.62,8,14481,1989,287,19415.714285714286
youtube,2025-08-14,29501,2458.42,12,26076,2820,605,19870.428571428572
youtube,2025-08-15,33558,2796.5,12,29989,2985,584,22480.714285714286
youtube,2025-08-16,20989,2998.43,7,18819,1880,290,22100.571428571428
youtube,2025-08-17,21587,3083.86,7,19615,1608,364,22406.428571428572
youtube,2025-08-18,7639,3819.5,2,6904,710,25,21799.714285714286
youtube,2025-08-19,29239,2923.9,10,26093,2672,474,22752.85714285714
youtube,2025-08-20,29434,2675.82,11,26277,2646,511,24563.85714285714
youtube,2025-08-21,10943,2188.6,5,9604,1095,244,21912.714285714286
