platform,date,engagement_score_sum,engagement_score_mean,engagement_score_count,likes_sum,comments_sum,shares_sum,engagement_ma
youtube,2025-07-24,14902,2483.67,6,13778,961,163,14454.0
youtube,2025-07-25,29057,3228.56,9,26734,1737,586,17374.6
youtube,2025-07-26,15384,2564.0,6,13494,1547,343,17042.833333333332
youtube,2025-07-27,23454,3350.57,7,21930,1302,222,17958.714285714286
youtube,2025-07-28,29194,3243.78,9,26666,2025,503,21761.714285714286
youtube,2025-07-29,16676,2779.33,6,14986,1470,220,22278.0
youtube,2025-07-30,24131,2681.22,9,21225,2479,427,21828.285714285714
youtube,2025-07-31,26552,2655.2,10,23447,2633,472,23492.571428571428
youtube,2025-08-01,30837,3426.33,9,27430,2969,438,23746.85714285714
youtube,2025-08-02,19033,2114.78,9,16049,2555,429,24268.14285714286
youtube,2025-08-03,18487,2641.0,7,17255,1053,179,23558.571428571428
youtube,2025-08-04,27354,3039.33,9,24668,2177,509,23295.714285714286
youtube,2025-08-05,16497,2356.71,7,14717,1523,257,23270.14285714286
youtube,2025-08-06,23215,2321.5,10,20124,2772,319,23139.285714285714
youtube,2025-08-07,26229,2384.45,11,22709,2958,562,23093.14285714286
youtube,2025-08-08,14403,3600.75,4,13458,717,228,20745.428571428572
youtube,2025-08-09,18097,3016.17,6,16588,1066,443,20611.714285714286
youtube,2025-08-10,28764,3595.5,8,26256,2033,475,22079.85714285714
youtube,2025-08-11,38239,2731.36,14,33613,3954,672,23634.85714285714
youtube,2025-08-12,26673,2667.3,10,23249,2856,568,25088.571428571428
youtube,2025-08-13,29989,2726.27,11,26482,3000,507,26056.285714285714
youtube,2025-08-14,26754,3822.0,7,25001,1531,222,26131.285714285714
youtube,2025-08-15,36724,3060.33,12,33259,2820,645,29320.0
youtube,2025-08-16,13111,2622.2,5,11805,1053,253,28607.714285714286
youtube,2025-08-17,9443,1573.83,6,7670,1495,278,25847.571428571428
youtube,2025-08-18,23307,2118.82,11,20943,1762,602,23714.428571428572
youtube,2025-08-19,22136,3162.29,7,20428,1392,316,23066.285714285714
youtube,2025-08-20,18168,3633.6,5,16296,1655,217,21377.571428571428
youtube,2025-08-21,13709,1958.43,7,11336,2042,331,19514.0
