platform,date,engagement_score_sum,engagement_score_mean,engagement_score_count,likes_sum,comments_sum,shares_sum,engagement_ma
facebook,2025-08-21,4249,708.17,6,2710,815,724,5401.285714285715
instagram,2025-07-22,3341,1670.5,2,3070,194,77,3341.0
instagram,2025-07-23,7606,950.75,8,5959,1086,561,5473.5
instagram,2025-07-24,11989,1332.11,9,10383,1187,419,7645.333333333333
instagram,2025-07-25,5717,816.71,7,4086,1048,583,7163.25
instagram,2025-07-26,9937,1104.11,9,7814,1420,703,7718.0
instagram,2025-07-27,16067,1338.92,12,13403,1567,1097,9109.5
instagram,2025-07-28,8195,1365.83,6,6671,1082,442,8978.857142857143
instagram,2025-07-29,8743,1457.17,6,7433,716,594,9750.57142857143
instagram,2025-07-30,7481,1246.83,6,5809,1119,553,9732.714285714286
instagram,2025-07-31,2815,938.33,3,2245,350,220,8422.142857142857
instagram,2025-08-01,11891,1081.0,11,9354,1554,983,9304.142857142857
instagram,2025-08-02,13312,1664.0,8,11836,1069,407,9786.285714285714
instagram,2025-08-03,9773,1221.62,8,7582,1449,742,8887.142857142857
instagram,2025-08-04,12544,1140.36,11,9593,2012,939,9508.42857142857
instagram,2025-08-05,6335,1055.83,6,4645,1354,336,9164.42857142857
instagram,2025-08-06,5527,921.17,6,4293,560,674,8885.285714285714
instagram,2025-08-07,12906,1613.25,8,11363,1097,446,10326.857142857143
instagram,2025-08-08,7619,1088.43,7,5929,946,744,9716.57142857143
instagram,2025-08-09,5922,1184.4,5,4717,816,389,8660.857142857143
instagram,2025-08-10,9786,1087.33,9,7422,1857,507,8662.714285714286
instagram,2025-08-11,5031,1006.2,5,4016,607,408,7589.428571428572
instagram,2025-08-12,12478,1386.44,9,11283,582,613,8467.0
instagram,2025-08-13,16177,1617.7,10,13882,1508,787,9988.42857142857
instagram,2025-08-14,15312,1276.0,12,13052,1488,772,10332.142857142857
instagram,2025-08-15,10865,1358.12,8,9055,1199,611,10795.857142857143
instagram,2025-08-16,17570,1464.17,12,14942,1963,665,12459.857142857143
instagram,2025-08-17,11213,1019.36,11,8465,1804,944,12663.714285714286
instagram,2025-08-18,4766,953.2,5,3726,603,437,12625.857142857143
instagram,2025-08-19,13502,1500.22,9,11653,1233,616,12772.142857142857
instagram,2025-08-20,14195,1419.5,10,11914,1559,722,12489.0
instagram,2025-08-21,16402,1366.83,12,13610,1914,878,12644.714285714286
twitter,2025-07-22,3429,381.0,9,1934,446,1049,3429.0
twitter,2025-07-23,4645,422.27,11,3065,628,952,4037.0
twitter,2025-07-24,2250,375.0,6,1263,284,703,3441.3333333333335
twitter,2025-07-25,2874,359.25,8,1877,489,508,3299.5
twitter,2025-07-26,4965,451.36,11,3389,453,1123,3632.6
twitter,2025-07-27,3315,414.38,8,2328,393,594,3579.6666666666665
twitter,2025-07-28,2438,487.6,5,1698,119,621,3416.5714285714284
twitter,2025-07-29,3315,414.38,8,2226,300,789,3400.285714285714
twitter,2025-07-30,4473,406.64,11,2673,569,1231,3375.714285714286
twitter,2025-07-31,3414,379.33,9,1833,499,1082,3542.0
twitter,2025-08-01,1549,516.33,3,1268,146,135,3352.714285714286
twitter,2025-08-02,2622,327.75,8,1602,440,580,3018.0
twitter,2025-08-03,2789,348.62,8,1601,422,766,2942.8571428571427
twitter,2025-08-04,4503,450.3,10,2864,460,1179,3237.8571428571427
twitter,2025-08-05,5949,396.6,15,3843,871,1235,3614.1428571428573
twitter,2025-08-06,2972,424.57,7,2028,316,628,3399.714285714286
twitter,2025-08-07,2121,424.2,5,1523,159,439,3215.0
twitter,2025-08-08,5315,442.92,12,3742,622,951,3753.0
twitter,2025-08-09,5426,452.17,12,3442,699,1285,4153.571428571428
twitter,2025-08-10,2659,531.8,5,1943,206,510,4135.0
twitter,2025-08-11,3053,305.3,10,1864,426,763,3927.8571428571427
twitter,2025-08-12,3425,489.29,7,2303,403,719,3567.285714285714
twitter,2025-08-13,3989,443.22,9,2384,515,1090,3712.5714285714284
twitter,2025-08-14,3752,416.89,9,2356,446,950,3945.5714285714284
twitter,2025-08-15,2023,404.6,5,1087,243,693,3475.285714285714
twitter,2025-08-16,4760,476.0,10,2875,587,1298,3380.1428571428573
twitter,2025-08-17,3839,479.88,8,2461,430,948,3548.714285714286
twitter,2025-08-18,3195,456.43,7,2031,378,786,3569.0
twitter,2025-08-19,3216,321.6,10,2240,322,654,3539.1428571428573
twitter,2025-08-20,3363,373.67,9,2128,313,922,3449.714285714286
twitter,2025-08-21,5189,432.42,12,3224,401,1564,3655.0
youtube,2025-07-22,13434,3358.5,4,11912,1228,294,13434.0
youtube,2025-07-23,20208,3368.0,6,19217,758,233,16821.0
youtube,2025-07-24,25505,3188.12,8,23153,1954,398,19715.666666666668
youtube,2025-07-25,20943,2327.0,9,18639,1936,368,20022.5
youtube,2025-07-26,21089,2636.12,8,18690,1935,464,20235.8
youtube,2025-07-27,17918,2559.71,7,15675,1992,251,19849.5
youtube,2025-07-28,22180,3696.67,6,20775,1112,293,20182.428571428572
youtube,2025-07-29,30910,3091.0,10,27930,2681,299,22679.0
youtube,2025-07-30,35826,2985.5,12,31597,3721,508,24910.14285714286
youtube,2025-07-31,15409,3081.8,5,13748,1399,262,23467.85714285714
youtube,2025-08-01,32535,3253.5,10,30237,1843,455,25123.85714285714
youtube,2025-08-02,27928,2792.8,10,25019,2435,474,26100.85714285714
youtube,2025-08-03,35502,3550.2,10,32827,2108,567,28612.85714285714
youtube,2025-08-04,19518,2788.29,7,17374,1735,409,28232.571428571428
youtube,2025-08-05,18511,3085.17,6,16914,1277,320,26461.285714285714
youtube,2025-08-06,27082,3009.11,9,24693,2003,386,25212.14285714286
youtube,2025-08-07,24504,2450.4,10,21601,2530,373,26511.428571428572
youtube,2025-08-08,19650,2807.14,7,17237,2080,333,24670.714285714286
youtube,2025-08-09,16450,2350.0,7,13665,2524,261,23031.0
youtube,2025-08-10,16912,3382.4,5,14740,1957,215,20375.285714285714
youtube,2025-08-11,29789,3309.89,9,27473,1767,549,21842.571428571428
youtube,2025-08-12,18770,1877.0,10,16812,1452,506,21879.571428571428
youtube,2025-08-13,25518,3189.75,8,23407,1752,359,21656.14285714286
youtube,2025-08-14,7849,2616.33,3,7193,421,235,19276.85714285714
youtube,2025-08-15,19392,2770.29,7,17204,1896,292,19240.0
youtube,2025-08-16,22048,2756.0,8,19628,2021,399,20039.714285714286
youtube,2025-08-17,26995,2699.5,10,23486,2811,698,21480.14285714286
youtube,2025-08-18,20973,2621.62,8,18861,1673,439,20220.714285714286
youtube,2025-08-19,24116,3014.5,8,20772,2865,479,20984.428571428572
youtube,2025-08-20,41209,4120.9,10,38277,2396,536,23226.0
youtube,2025-08-21,33287,3026.09,11,30282,2392,613,26860.0
